loc,총인구수,조출생률
1144073000.0,41236.0,6.644679406
1144074000.0,32225.0,4.127230411
1147000000.0,458165.0,4.897798828
1147051000.0,31940.0,3.788353162
1147052000.0,31191.0,6.86095348
1147053000.0,22904.0,8.339154733
1147054000.0,26669.0,3.674678466
1147055000.0,42885.0,2.751544829
1147056000.0,21430.0,4.479701353
1147057000.0,21931.0,6.246865168
1147058000.0,16475.0,5.887708649
1147059000.0,18932.0,6.021550813
1147060000.0,15408.0,5.516614746
1147061000.0,6573.0,4.107713373
1147061100.0,21460.0,4.892823858
1147062000.0,21412.0,4.01643938
1147063000.0,20500.0,2.390243902
1147064000.0,47718.0,5.490590553
1147065000.0,34763.0,5.638178523
1147067000.0,25279.0,4.905257328
1147068000.0,30695.0,4.039745887
1150000000.0,591796.0,6.598557611
1150051000.0,42455.0,7.725827347
1150052000.0,23496.0,8.171603677
1150053000.0,21736.0,7.959146117
1150053500.0,32310.0,6.220984215
1150054000.0,53420.0,8.685885436
1150055000.0,19163.0,5.792412462
1150056000.0,22536.0,5.812921548
1150057000.0,21674.0,5.721140537
1150059000.0,35485.0,6.425250106
1150059100.0,24900.0,5.582329317
1150059300.0,25996.0,6.65486998
1150060300.0,33806.0,5.975270662
1150060400.0,15052.0,5.314908318
1150060500.0,16086.0,8.703220191
1150061100.0,38348.0,5.032856994
1150061500.0,44578.0,5.069765355
1150062000.0,27372.0,8.987286278
1150063000.0,45356.0,6.151336097
1150064000.0,23716.0,4.849047057
1150064100.0,24311.0,6.581382913
1153000000.0,406664.0,6.10331871
1153051000.0,36849.0,8.548400228
1153052000.0,21621.0,8.926506637
1153053000.0,25313.0,3.950539249
1153054000.0,24280.0,4.859967051
1153055000.0,20911.0,5.690784754
1153056000.0,29812.0,7.111230377
1153059500.0,9350.0,3.315508021
1153072000.0,23706.0,4.049607694
1153073000.0,28334.0,4.552834051
1153074000.0,32720.0,6.234718826
1153075000.0,32523.0,6.64145374
1153076000.0,21500.0,5.348837209
1153077000.0,22563.0,7.844701502
1153078000.0,52659.0,6.000873545
1153079000.0,24523.0,5.749704359
1154500000.0,232810.0,5.068510803
1154551000.0,21027.0,5.516716602
1154561000.0,41421.0,7.773834528
1154562000.0,19444.0,3.342933553
1154563000.0,25161.0,4.29235722
1154564000.0,15996.0,4.063515879
1154567000.0,34335.0,5.096839959
1154568000.0,22541.0,4.347633202
1154569000.0,11360.0,5.105633803
1154570000.0,21360.0,4.073033708
1154571000.0,20165.0,4.264815274
1156000000.0,367678.0,7.327063354
1156051500.0,21950.0,6.378132118
1156053500.0,26450.0,7.63705104
1156054000.0,34222.0,6.487055111
1156055000.0,20989.0,8.909428748
1156056000.0,35883.0,8.499846724
1156058500.0,18636.0,7.29770337
1156060500.0,31735.0,8.886087916
1156061000.0,17900.0,12.5698324
1156062000.0,22541.0,10.8247194
1156063000.0,17664.0,4.359148551
1156065000.0,17335.0,5.884049611
1156066000.0,8977.0,3.341873677
1156067000.0,9055.0,3.313086692
1156068000.0,18198.0,5.714913727
1156069000.0,16855.0,8.543458914
1156070000.0,12885.0,4.11331005
1156071000.0,12673.0,4.892290697
1156072000.0,23730.0,6.278971766
1159000000.0,395963.0,5.71265497
1159051000.0,32202.0,6.303956276
1159052000.0,12784.0,2.816020025
1159053000.0,45819.0,5.281651717
1159054000.0,28872.0,7.481296758
1159055000.0,25626.0,5.151018497
1159056000.0,29468.0,6.651282747
1159060500.0,32777.0,4.942490161
1159062000.0,23363.0,4.708299448
1159063000.0,27796.0,7.66297309
1159064000.0,25744.0,6.525792418
1159065000.0,14714.0,6.116623624
1159065100.0,12760.0,6.896551724
1159066000.0,39725.0,4.984266834
1159067000.0,23894.0,4.394408638
1159068000.0,20419.0,5.044321465
1162000000.0,500094.0,4.52914852
1162052500.0,25147.0,6.084224758
1162054500.0,16144.0,9.972745292
1162056500.0,30968.0,5.263497804
1162057500.0,29526.0,4.741583689
1162058500.0,16876.0,4.740459825
1162059500.0,33075.0,2.781557067
1162060500.0,34671.0,5.566611866
1162061500.0,15458.0,3.946176737
1162062500.0,26703.0,4.905815826
1162063000.0,18780.0,6.815761448
1162064500.0,23194.0,3.794084677
1162065500.0,18510.0,4.754186926
1162066500.0,23727.0,3.877439204
1162068500.0,22862.0,4.54903333
1162069500.0,21645.0,3.557403557
1162071500.0,16275.0,4.116743472
1162072500.0,17530.0,4.221334855
1162073500.0,23549.0,3.057454669
1162074500.0,25041.0,2.356135937
1162076500.0,32067.0,4.241120155
1162077500.0,28346.0,3.739504692
1165000000.0,430826.0,6.000102129
1165051000.0,21358.0,6.601741736
1165052000.0,18508.0,7.510265831
1165053000.0,30631.0,5.386699749
1165053100.0,31687.0,4.796919873
1165054000.0,34914.0,6.186630005
1165055000.0,12122.0,3.382280152
1165056000.0,32868.0,5.719849093
1165057000.0,16208.0,4.689042448
1165058000.0,20329.0,6.739141128
1165058100.0,19665.0,7.271802695
1165059000.0,21383.0,3.881588178
1165060000.0,17388.0,8.051529791
1165061000.0,20803.0,6.152958708
1165062000.0,22290.0,5.383580081
1165062100.0,23785.0,5.339499685
1165065100.0,45569.0,6.36397551
