loc,총인구수,조출생률,구간별_데이터_개수
1126054000.0,18972.0,4.743833017,167
1126055000.0,14537.0,4.884088877,167
1126056500.0,34622.0,4.621339033,167
1126057000.0,22386.0,5.315822389,156
1126057500.0,25576.0,3.558023147,194
1126058000.0,24763.0,5.16900214,190
1126059000.0,19899.0,6.482737826,65
1126060000.0,20224.0,6.576344937,65
1126061000.0,25578.0,3.792321526,215
1126062000.0,35399.0,4.378654764,213
1126063000.0,19428.0,4.786905497,167
1126065500.0,30431.0,4.041930926,199
1126066000.0,17127.0,4.087113914,199
1126068000.0,39681.0,4.712582848,167
1126069000.0,21214.0,6.410860752,65
1129000000.0,437153.0,4.730609192,167
1129052500.0,16868.0,4.564856533,213
1129055500.0,23580.0,3.011026293,176
1129057500.0,15610.0,3.010890455,176
1129058000.0,15292.0,4.642950562,167
1129059000.0,24589.0,4.717556631,167
1129060000.0,15093.0,2.650235208,170
1129061000.0,15768.0,5.327245053,156
1129062000.0,18677.0,4.818761043,167
1129063000.0,23501.0,4.85085741,167
1129064000.0,15541.0,4.375522811,213
1129065000.0,25609.0,5.388730524,156
1129066000.0,36402.0,5.274435471,156
1129068500.0,17051.0,7.565538678,35
1129070500.0,39786.0,4.951490474,190
1129071500.0,26918.0,5.052381306,190
1129072500.0,19928.0,4.014452027,215
1129076000.0,20268.0,3.45372015,194
1129077000.0,13867.0,2.812432393,170
1129078000.0,17200.0,8.604651163,23
1129081000.0,35605.0,4.521836821,213
1130500000.0,308055.0,3.424713119,196
1130553400.0,24555.0,4.398289554,213
1130553500.0,22213.0,2.476027551,160
1130554500.0,30353.0,4.249991764,199
1130555500.0,27439.0,2.441779948,160
1130557500.0,31993.0,4.62601194,167
1130559500.0,19059.0,3.095650349,176
1130560300.0,16435.0,3.407362336,196
1130560800.0,17540.0,2.964652223,176
1130561500.0,21219.0,3.958716245,215
1130562500.0,21460.0,3.494874185,194
1130563500.0,23531.0,2.167353704,145
1130564500.0,20939.0,3.486317398,194
1130566000.0,31319.0,3.129090967,176
1132000000.0,325257.0,3.836965845,215
1132051100.0,25241.0,4.239134741,199
1132051200.0,29643.0,4.824073137,167
