loc,총인구수,조출생률
1150064100.0,23443.0,5.84396195
1153000000.0,404408.0,5.670016419
1153051000.0,36188.0,7.875538853
1153052000.0,21232.0,7.159005275
1153053000.0,24601.0,3.373846592
1153054000.0,23883.0,4.940752837
1153055000.0,20378.0,4.465600157
1153056000.0,29358.0,6.608079569
1153059500.0,9280.0,2.693965517
1153072000.0,23151.0,3.369184916
1153073000.0,27336.0,4.645888206
1153074000.0,34337.0,5.329527914
1153075000.0,31763.0,5.19472342
1153076000.0,20848.0,4.508825787
1153077000.0,22687.0,7.096575131
1153078000.0,39112.0,4.832276539
1153079000.0,23970.0,5.924071756
1153080000.0,16284.0,12.65045443
1154500000.0,231733.0,4.712319782
1154551000.0,23076.0,3.510140406
1154561000.0,42122.0,8.0480509
1154562000.0,19047.0,3.780122854
1154563000.0,24571.0,3.093077205
1154564000.0,15562.0,3.984063745
1154567000.0,33770.0,5.152502221
1154568000.0,21967.0,3.687349206
1154569000.0,11126.0,3.325543771
1154570000.0,20797.0,4.519882675
1154571000.0,19695.0,3.858847423
1156000000.0,379480.0,6.113629177
1156051500.0,21479.0,4.981609945
1156053500.0,28118.0,5.761433957
1156054000.0,34135.0,5.6540208
1156055000.0,20750.0,6.698795181
1156056000.0,37560.0,6.815761448
1156058500.0,18249.0,6.08252507
1156060500.0,33190.0,8.285628201
1156061000.0,17393.0,10.061519
1156062000.0,22380.0,9.115281501
1156063000.0,17469.0,3.491899937
1156065000.0,16896.0,4.971590909
1156066000.0,12122.0,2.474839135
1156067000.0,11186.0,5.006257822
1156068000.0,18071.0,5.201704388
1156069000.0,20289.0,7.886046626
1156070000.0,14870.0,2.824478816
1156071000.0,12409.0,3.706986864
1156072000.0,22914.0,5.455180239
1159000000.0,391220.0,5.278360002
1159051000.0,32052.0,5.023087483
1159052000.0,12669.0,2.683716158
1159053000.0,45139.0,4.031990075
1159054000.0,27856.0,6.641298105
1159055000.0,25069.0,5.385137022
1159056000.0,28943.0,5.804512317
1159060500.0,32391.0,5.433608101
1159062000.0,23071.0,4.551168133
1159063000.0,27238.0,7.269256186
1159064000.0,25012.0,6.516871901
1159065000.0,14421.0,6.171555371
1159065100.0,14702.0,7.277921371
1159066000.0,38795.0,3.814924604
1159067000.0,23660.0,4.311073542
1159068000.0,20202.0,5.544005544
1162000000.0,495060.0,3.868217994
1162052500.0,24563.0,3.74547083
1162054500.0,15591.0,6.927073312
1162056500.0,30296.0,4.984156324
1162057500.0,29302.0,4.368302505
1162058500.0,17013.0,3.761829189
1162059500.0,35128.0,3.074470508
1162060500.0,34023.0,4.585133586
1162061500.0,15372.0,2.60213375
1162062500.0,26154.0,4.549973235
1162063000.0,18395.0,6.142973634
1162064500.0,22848.0,4.070378151
1162065500.0,18313.0,3.057936985
1162066500.0,23839.0,2.810520576
1162068500.0,22797.0,3.289906567
1162069500.0,21849.0,2.883427159
1162071500.0,15799.0,4.557250459
1162072500.0,17558.0,3.815924365
1162073500.0,23669.0,2.408213275
1162074500.0,23785.0,2.690771495
